( ID , j , 1 )
( LO , ! , 1 )
( ID , i , 1 )
( ID , hel , 2 )
( . , - , 2 )
( ID , py , 2 )
( Keyword , def , 3 )
( ID , a , 4 )
( ADD_SUB , + , 4 )
( ID , b , 4 )
( INC_DEC , ++ , 5 )
( INC_DEC , -- , 6 )
( ID , a , 7 )
( ASGN_OPT , *= , 7 )
( ID , b , 7 )
( ID , a , 8 )
( RO , == , 8 )
( ID , b , 8 )
( ID , a , 9 )
( DIV_REM , % , 9 )
( ID , h , 9 )
( ID , h , 10 )
( LO , && , 10 )
( ID , t , 10 )
( ID , k , 11 )
( RO , <= , 11 )
( ID , t , 11 )
( ID , k , 12 )
( RO , != , 12 )
( LO , ! , 12 )
( ID , i , 12 )
( ID , l , 13 )
( RO , < , 13 )
( ID , m , 13 )
( ID , a , 14 )
